,Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,OM,TN,CEC,Depth,SOCC,SOCD ,SOC Stock 
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,1.5213500000000002,30.722700000000003,9.96078,58.36237,31.72145,8.1996,1.33814,2.72263552,0.09154999999999999,13.68081,60.0,1.5801600000000002,0.022538449,45.084987999999996
std,0.12806645804724856,6.923951235903652,12.704117824889963,11.959837119811636,11.804480788854901,0.4314315376941882,2.119237374837725,3.9847875729632207,0.06321733795551515,11.108445041785265,28.426762180748057,2.3111056286259757,0.031350230254510204,62.69489357788624
min,1.24,10.98,0.16,25.0,10.62,7.01,0.024,0.067,0.02,0.59,20.0,0.039,0.0006,1.129
25%,1.43,25.985,3.1225,50.805,22.8625,7.9750000000000005,0.1125,0.5265,0.0435,2.56675,40.0,0.3075,0.004675,9.3735
50%,1.52,30.04,5.205,60.0,31.035,8.274999999999999,0.173,1.2385000000000002,0.08449999999999999,11.129000000000001,60.0,0.72,0.01055,21.116500000000002
75%,1.6125,35.1025,11.1425,66.98750000000001,38.6775,8.4925,2.0340000000000003,2.3274090000000003,0.12125,25.195,80.0,1.3522500000000002,0.020325,40.643
max,1.81,55.69,60.83,81.72,70.6,8.93,7.23,16.26594,0.416,32.17,100.0,9.435,0.137751,275.502
